name,team,position,height,weight,age
Tomo Ohka,TOR,Starting Pitcher,73.0,200.0,32.95
B.J. Ryan,TOR,Relief Pitcher,78.0,249.0,33.17
Scott Downs,TOR,Relief Pitcher,74.0,190.0,32.95
Brian Tallet,TOR,Relief Pitcher,79.0,208.0,31.44
Matt Roney,TOR,Relief Pitcher,75.0,245.0,29.14
Tracy Thorpe,TOR,Relief Pitcher,76.0,250.0,28.21
Jean Machi,TOR,Relief Pitcher,72.0,160.0,26.08
Brandon League,TOR,Relief Pitcher,75.0,192.0,25.96
Dustin McGowan,TOR,Relief Pitcher,75.0,220.0,26.94
Jason Frasor,TOR,Relief Pitcher,70.0,170.0,31.56
Francisco Rosario,TOR,Relief Pitcher,72.0,197.0,28.42
Davis Romero,TOR,Relief Pitcher,70.0,155.0,25.92
Jeremy Accardo,TOR,Relief Pitcher,74.0,190.0,27.23
Mike Redmond,MIN,Catcher,71.0,200.0,37.82
Joe Mauer,MIN,Catcher,76.0,220.0,25.87
Chris Heintz,MIN,Catcher,73.0,210.0,34.57
Justin Morneau,MIN,First Baseman,76.0,228.0,27.79
Luis Castillo,MIN,Second Baseman,71.0,190.0,33.47
Alexi Casilla,MIN,Second Baseman,69.0,160.0,24.61
Alejandro Machado,MIN,Second Baseman,72.0,184.0,26.85
Jason Bartlett,MIN,Shortstop,72.0,180.0,29.33
Luis Rodriguez,MIN,Third Baseman,69.0,180.0,28.67
Jeff Cirillo,MIN,Third Baseman,73.0,200.0,39.43
Nick Punto,MIN,Third Baseman,69.0,176.0,31.31
Jason Tyner,MIN,Outfielder,73.0,160.0,31.85
Michael Cuddyer,MIN,Outfielder,74.0,222.0,29.93
Torii Hunter,MIN,Outfielder,74.0,211.0,33.620000000000005
Lew Ford,MIN,Outfielder,72.0,195.0,32.55
Jason Kubel,MIN,Outfielder,71.0,200.0,26.77
Josh Rabe,MIN,Designated Hitter,74.0,210.0,30.38
Rondell White,MIN,Designated Hitter,73.0,225.0,37.02
Ramon Ortiz,MIN,Starting Pitcher,72.0,175.0,35.77
Johan Santana,MIN,Starting Pitcher,72.0,206.0,29.97
Carlos Silva,MIN,Starting Pitcher,76.0,240.0,29.85
Matt Garza,MIN,Starting Pitcher,76.0,185.0,25.26
Boof Bonser,MIN,Starting Pitcher,76.0,260.0,27.38
Francisco Liriano,MIN,Starting Pitcher,74.0,185.0,25.35
Scott Baker,MIN,Starting Pitcher,76.0,221.0,27.45
Pat Neshek,MIN,Relief Pitcher,75.0,205.0,28.49
Glen Perkins,MIN,Relief Pitcher,71.0,200.0,26.0
Julio DePaula,MIN,Relief Pitcher,72.0,170.0,26.16
Juan Rincon,MIN,Relief Pitcher,71.0,201.0,30.1
Jesse Crain,MIN,Relief Pitcher,73.0,205.0,27.65
Matt Guerrier,MIN,Relief Pitcher,75.0,185.0,30.58
Joe Nathan,MIN,Relief Pitcher,76.0,205.0,34.27
Dennys Reyes,MIN,Relief Pitcher,75.0,245.0,31.86
Brayan Pe?a,ATL,Catcher,71.0,220.0,27.14
Brian McCann,ATL,Catcher,75.0,210.0,25.03
Craig Wilson,ATL,First Baseman,74.0,220.0,32.25
Chris Woodward,ATL,Second Baseman,72.0,185.0,32.67
Pete Orr,ATL,Second Baseman,73.0,175.0,29.73
Martin Prado,ATL,Second Baseman,73.0,170.0,25.34
Tony Pe?a,ATL,Shortstop,73.0,180.0,27.94
Edgar Renteria,ATL,Shortstop,73.0,200.0,33.56
Chipper Jones,ATL,Third Baseman,76.0,210.0,36.85
Willy Aybar,ATL,Third Baseman,72.0,175.0,25.98
Jeff Francoeur,ATL,Outfielder,76.0,220.0,25.14
Matt Diaz,ATL,Outfielder,73.0,206.0,30.99
Kelly Johnson,ATL,Outfielder,73.0,180.0,27.02
Andruw Jones,ATL,Outfielder,73.0,210.0,31.85
Ryan Langerhans,ATL,Outfielder,75.0,195.0,29.03
Scott Thorman,ATL,Outfielder,75.0,200.0,27.15
T.J. Bohn,ATL,Outfielder,77.0,200.0,29.12
Tim Hudson,ATL,Starting Pitcher,73.0,164.0,33.629999999999995
Jonathan Johnson,ATL,Starting Pitcher,72.0,180.0,34.62
John Smoltz,ATL,Starting Pitcher,75.0,220.0,41.79
Mike Hampton,ATL,Starting Pitcher,70.0,195.0,36.47
Kyle Davies,ATL,Starting Pitcher,74.0,205.0,25.47
Chuck James,ATL,Starting Pitcher,72.0,170.0,27.31
Phil Stockman,ATL,Relief Pitcher,80.0,240.0,29.1
Macay McBride,ATL,Relief Pitcher,71.0,210.0,26.35
Joey Devine,ATL,Relief Pitcher,71.0,195.0,25.45
Peter Moylan,ATL,Relief Pitcher,74.0,200.0,30.24
Mike Gonzalez,ATL,Relief Pitcher,74.0,205.0,30.77
Lance Cormier,ATL,Relief Pitcher,73.0,192.0,28.53
Blaine Boyer,ATL,Relief Pitcher,75.0,190.0,27.64
Manny Acosta,ATL,Relief Pitcher,76.0,170.0,27.83
Bob Wickman,ATL,Relief Pitcher,73.0,240.0,40.06
Tanyon Sturtze,ATL,Relief Pitcher,77.0,200.0,38.38
Oscar Villarreal,ATL,Relief Pitcher,72.0,205.0,27.27
Rafael Soriano,ATL,Relief Pitcher,73.0,175.0,29.2
Chad Paronto,ATL,Relief Pitcher,77.0,250.0,33.59
Tyler Yates,ATL,Relief Pitcher,76.0,220.0,31.56
Henry Blanco,CHC,Catcher,71.0,224.0,37.5
Michael Barrett,CHC,Catcher,75.0,210.0,32.35
Geovany Soto,CHC,Catcher,73.0,195.0,26.11
Scott Moore,CHC,First Baseman,74.0,180.0,25.29
Derrek Lee,CHC,First Baseman,77.0,245.0,33.480000000000004
Ryan Theriot,CHC,Second Baseman,71.0,175.0,29.23
Ronny Cedeno,CHC,Shortstop,72.0,180.0,26.07
Aramis Ramirez,CHC,Third Baseman,73.0,215.0,30.68
Cesar Izturis,CHC,Third Baseman,69.0,175.0,29.05
Alfonso Soriano,CHC,Outfielder,73.0,180.0,33.15
Jacque Jones,CHC,Outfielder,70.0,195.0,33.85
Daryle Ward,CHC,Outfielder,74.0,230.0,33.68
Cliff Floyd,CHC,Outfielder,76.0,230.0,36.23
Mark DeRosa,CHC,Outfielder,73.0,205.0,34.01
Matt Murton,CHC,Outfielder,73.0,215.0,27.41
Buck Coats,CHC,Outfielder,75.0,195.0,26.73
Angel Pagan,CHC,Outfielder,73.0,180.0,27.66
Sean Marshall,CHC,Starting Pitcher,79.0,205.0,26.5
Carlos Marmol,CHC,Starting Pitcher,74.0,180.0,26.38
Ryan O'Malley,CHC,Starting Pitcher,73.0,190.0,28.89
Juan Mateo,CHC,Starting Pitcher,74.0,180.0,26.2
Rich Hill,CHC,Starting Pitcher,77.0,190.0,28.97
Angel Guzman,CHC,Starting Pitcher,75.0,190.0,27.21
Wade Miller,CHC,Starting Pitcher,74.0,220.0,32.46
Jason Marquis,CHC,Starting Pitcher,73.0,210.0,30.53
Carlos Zambrano,CHC,Starting Pitcher,77.0,255.0,27.75
Ted Lilly,CHC,Starting Pitcher,73.0,190.0,33.15
Mark Prior,CHC,Starting Pitcher,77.0,230.0,28.48
Neal Cotts,CHC,Relief Pitcher,74.0,200.0,28.93
Will Ohman,CHC,Relief Pitcher,74.0,205.0,31.55
Scott Eyre,CHC,Relief Pitcher,73.0,210.0,36.75
Kerry Wood,CHC,Relief Pitcher,77.0,225.0,31.71
Ryan Dempster,CHC,Relief Pitcher,74.0,215.0,31.83
Bob Howry,CHC,Relief Pitcher,77.0,220.0,35.57
Mike Wuertz,CHC,Relief Pitcher,75.0,205.0,30.21
Roberto Novoa,CHC,Relief Pitcher,77.0,200.0,29.54
Chris Snyder,ARZ,Catcher,75.0,220.0,28.05
Miguel Montero,ARZ,Catcher,71.0,197.0,25.64
Conor Jackson,ARZ,First Baseman,74.0,225.0,26.82
Robby Hammock,ARZ,First Baseman,70.0,187.0,31.8
Tony Clark,ARZ,First Baseman,79.0,245.0,36.71
Orlando Hudson,ARZ,Second Baseman,72.0,185.0,31.22
Stephen Drew,ARZ,Shortstop,72.0,185.0,25.96
Alberto Callaspo,ARZ,Shortstop,70.0,175.0,25.87
Chad Tracy,ARZ,Third Baseman,74.0,200.0,28.77
Chris Young,ARZ,Outfielder,74.0,180.0,25.49
Scott Hairston,ARZ,Outfielder,72.0,188.0,28.77
Carlos Quentin,ARZ,Outfielder,73.0,225.0,26.51
Jeff DaVanon,ARZ,Outfielder,72.0,200.0,35.23
Eric Byrnes,ARZ,Outfielder,74.0,210.0,33.04
Livan Hernandez,ARZ,Starting Pitcher,74.0,245.0,34.02
Doug Davis,ARZ,Starting Pitcher,76.0,213.0,33.44
Randy Johnson,ARZ,Starting Pitcher,82.0,231.0,45.47
Juan Cruz,ARZ,Starting Pitcher,74.0,165.0,30.38
Brandon Webb,ARZ,Starting Pitcher,74.0,228.0,29.81
Enrique Gonzalez,ARZ,Starting Pitcher,70.0,210.0,26.57
Dana Eveland,ARZ,Starting Pitcher,73.0,250.0,25.34
Brandon Medders,ARZ,Relief Pitcher,73.0,191.0,29.09
Tony Pe?a,ARZ,Relief Pitcher,74.0,190.0,27.14
Doug Slaten,ARZ,Relief Pitcher,77.0,200.0,29.07
Edgar Gonzalez,ARZ,Relief Pitcher,72.0,215.0,26.02
Jose Valverde,ARZ,Relief Pitcher,76.0,254.0,29.6
Jorge Julio,ARZ,Relief Pitcher,73.0,232.0,29.99
Brandon Lyon,ARZ,Relief Pitcher,73.0,180.0,29.56
Miguel Olivo,FLA,Catcher,72.0,215.0,30.63
Matt Treanor,FLA,Catcher,74.0,220.0,32.989999999999995
Mike Jacobs,FLA,First Baseman,74.0,180.0,28.33
Dan Uggla,FLA,Second Baseman,71.0,200.0,28.97
Robert Andino,FLA,Shortstop,72.0,170.0,24.85
Hanley Ramirez,FLA,Shortstop,75.0,195.0,25.19
Miguel Cabrera,FLA,Third Baseman,74.0,210.0,25.87
Aaron Boone,FLA,Third Baseman,74.0,200.0,35.98
Joe Borchard,FLA,Outfielder,77.0,220.0,30.26
Alfredo Amezaga,FLA,Outfielder,70.0,165.0,31.12
Cody Ross,FLA,Outfielder,71.0,180.0,28.18
Josh Willingham,FLA,Outfielder,73.0,200.0,30.03
Jeremy Hermida,FLA,Outfielder,76.0,200.0,25.08
Eric Reed,FLA,Outfielder,71.0,170.0,28.24
Reggi Abercrombie,FLA,Outfielder,75.0,224.0,28.63
Ricky Nolasco,FLA,Starting Pitcher,74.0,220.0,26.21
Anibal Sanchez,FLA,Starting Pitcher,72.0,180.0,25.01
Scott Olsen,FLA,Starting Pitcher,76.0,198.0,25.13
Josh Johnson,FLA,Starting Pitcher,79.0,240.0,25.08
Dontrelle Willis,FLA,Starting Pitcher,76.0,239.0,27.13
Logan Kensing,FLA,Relief Pitcher,73.0,185.0,26.66
Sergio Mitre,FLA,Relief Pitcher,76.0,210.0,28.03
Kevin Gregg,FLA,Relief Pitcher,78.0,220.0,30.7
Travis Bowyer,FLA,Relief Pitcher,75.0,200.0,27.57
Renyel Pinto,FLA,Relief Pitcher,76.0,195.0,26.65
Randy Messenger,FLA,Relief Pitcher,72.0,220.0,27.55
Yusmeiro Petit,FLA,Relief Pitcher,72.0,230.0,24.27
Carlos Martinez,FLA,Relief Pitcher,73.0,170.0,26.76
Taylor Tankersley,FLA,Relief Pitcher,73.0,220.0,25.98
Henry Owens,FLA,Relief Pitcher,75.0,230.0,29.85
Jose Garcia,FLA,Relief Pitcher,71.0,165.0,24.14
Matt Lindstrom,FLA,Relief Pitcher,76.0,205.0,29.05
Javier Valentin,CIN,Catcher,70.0,192.0,33.45
Chad Moeller,CIN,Catcher,75.0,210.0,34.03
David Ross,CIN,Catcher,74.0,205.0,31.95
Joey Votto,CIN,First Baseman,75.0,200.0,25.47
Scott Hatteberg,CIN,First Baseman,73.0,210.0,39.21
Brandon Phillips,CIN,Second Baseman,71.0,185.0,27.67
Juan Castro,CIN,Shortstop,71.0,195.0,36.69
Alex Gonzalez,CIN,Shortstop,72.0,202.0,32.04
Mark Bellhorn,CIN,Third Baseman,73.0,205.0,34.52
Edwin Encarnacion,CIN,Third Baseman,73.0,195.0,26.15
Jeff Keppinger,CIN,Third Baseman,72.0,180.0,28.86
Norris Hopper,CIN,Outfielder,69.0,200.0,29.94
Chris Denorfia,CIN,Outfielder,73.0,185.0,28.63
Adam Dunn,CIN,Outfielder,78.0,240.0,29.31
Bubba Crosby,CIN,Outfielder,71.0,185.0,32.55
Jeff Conine,CIN,Outfielder,73.0,220.0,42.68
Ken Griffey Jr.,CIN,Outfielder,75.0,205.0,39.27
Josh Hamilton,CIN,Outfielder,76.0,205.0,27.78
Ryan Freel,CIN,Outfielder,70.0,180.0,32.980000000000004
Kyle Lohse,CIN,Starting Pitcher,74.0,201.0,30.41
Bronson Arroyo,CIN,Starting Pitcher,77.0,190.0,32.010000000000005
Eric Milton,CIN,Starting Pitcher,75.0,208.0,33.57
Aaron Harang,CIN,Starting Pitcher,79.0,240.0,30.81
Elizardo Ramirez,CIN,Starting Pitcher,72.0,180.0,26.09
Todd Coffey,CIN,Relief Pitcher,77.0,230.0,28.47
Brian Shackelford,CIN,Relief Pitcher,73.0,195.0,32.5
Bill Bray,CIN,Relief Pitcher,75.0,215.0,25.74
Bobby Livingston,CIN,Relief Pitcher,75.0,190.0,26.49
Matt Belisle,CIN,Relief Pitcher,75.0,195.0,28.73
Gary Majewski,CIN,Relief Pitcher,73.0,215.0,29.01
Mike Stanton,CIN,Relief Pitcher,73.0,215.0,41.75
Brad Salmon,CIN,Relief Pitcher,76.0,220.0,29.16
Jared Burton,CIN,Relief Pitcher,77.0,220.0,27.74
David Weathers,CIN,Relief Pitcher,75.0,230.0,39.43
Rheal Cormier,CIN,Relief Pitcher,70.0,195.0,41.85
Yorvit Torrealba,COL,Catcher,71.0,190.0,30.62
Chris Iannetta,COL,Catcher,71.0,195.0,25.9
Alvin Colina,COL,Catcher,75.0,209.0,27.18
Todd Helton,COL,First Baseman,74.0,204.0,35.53
Jamey Carroll,COL,Second Baseman,69.0,170.0,35.03
Kaz Matsui,COL,Second Baseman,70.0,185.0,33.35
Troy Tulowitzki,COL,Shortstop,75.0,205.0,24.39
Clint Barmes,COL,Shortstop,72.0,175.0,29.99
Garrett Atkins,COL,Third Baseman,75.0,210.0,29.22
Ryan Spilborghs,COL,Outfielder,73.0,190.0,29.49
Cory Sullivan,COL,Outfielder,72.0,180.0,29.53
Jeff Salazar,COL,Outfielder,72.0,180.0,28.26
Willy Taveras,COL,Outfielder,72.0,160.0,27.18
Matt Holliday,COL,Outfielder,76.0,235.0,29.12
Brad Hawpe,COL,Outfielder,75.0,200.0,29.69
Jeff Baker,COL,Outfielder,74.0,210.0,27.69
Javy Lopez,COL,Designated Hitter,75.0,224.0,38.32
Byung-Hyun Kim,COL,Starting Pitcher,69.0,180.0,30.11
Rodrigo Lopez,COL,Starting Pitcher,73.0,190.0,33.21
Brian Lawrence,COL,Starting Pitcher,72.0,197.0,32.8
Josh Fogg,COL,Starting Pitcher,72.0,203.0,32.21
Aaron Cook,COL,Starting Pitcher,75.0,205.0,30.06
Denny Bautista,COL,Starting Pitcher,77.0,170.0,28.52
Ubaldo Jimenez,COL,Starting Pitcher,76.0,200.0,25.1
Jason Hirsh,COL,Starting Pitcher,80.0,250.0,27.02
Jeff Francis,COL,Starting Pitcher,77.0,200.0,28.14
Taylor Buchholz,COL,Starting Pitcher,76.0,220.0,27.38
Ryan Speier,COL,Relief Pitcher,79.0,200.0,29.6
Ramon Ramirez,COL,Relief Pitcher,71.0,190.0,27.5
Manny Corpas,COL,Relief Pitcher,75.0,170.0,26.24
Juan Morillo,COL,Relief Pitcher,73.0,190.0,25.32
Brian Fuentes,COL,Relief Pitcher,76.0,220.0,33.56
LaTroy Hawkins,COL,Relief Pitcher,77.0,215.0,36.19
Tom Martin,COL,Relief Pitcher,73.0,206.0,38.78
Jeremy Affeldt,COL,Relief Pitcher,76.0,215.0,29.73
Paul Lo Duca,NYM,Catcher,70.0,185.0,36.88
Ramon Castro,NYM,Catcher,75.0,235.0,33.0
Julio Franco,NYM,First Baseman,73.0,188.0,50.52
Carlos Delgado,NYM,First Baseman,75.0,230.0,36.68
Jose Valentin,NYM,Second Baseman,70.0,195.0,39.38
Anderson Hernandez,NYM,Second Baseman,69.0,168.0,26.33
Damion Easley,NYM,Shortstop,71.0,190.0,39.3
Jose Reyes,NYM,Shortstop,72.0,160.0,25.72
David Wright,NYM,Third Baseman,72.0,200.0,26.19
Ben Johnson,NYM,Outfielder,73.0,200.0,27.7
Endy Chavez,NYM,Outfielder,70.0,189.0,31.06
David Newhan,NYM,Outfielder,70.0,180.0,35.48
Carlos Beltran,NYM,Outfielder,73.0,190.0,31.85
Shawn Green,NYM,Outfielder,76.0,200.0,36.3
Moises Alou,NYM,Outfielder,75.0,220.0,42.66
Lastings Milledge,NYM,Outfielder,72.0,187.0,23.9
Alay Soler,NYM,Starting Pitcher,73.0,240.0,29.39
Mike Pelfrey,NYM,Starting Pitcher,79.0,190.0,25.13
Pedro Martinez,NYM,Starting Pitcher,71.0,180.0,37.35
Tom Glavine,NYM,Starting Pitcher,72.0,185.0,42.93
Chan Ho Park,NYM,Starting Pitcher,74.0,210.0,35.67
Orlando Hernandez,NYM,Starting Pitcher,74.0,220.0,39.39
Dave Williams,NYM,Starting Pitcher,74.0,219.0,29.97
Oliver Perez,NYM,Starting Pitcher,72.0,190.0,27.54
John Maine,NYM,Starting Pitcher,76.0,193.0,27.81
Marcos Carvajal,NYM,Relief Pitcher,76.0,175.0,24.53
Ambiorix Burgos,NYM,Relief Pitcher,72.0,180.0,24.86
Jason Vargas,NYM,Relief Pitcher,72.0,215.0,26.07
Jon Adkins,NYM,Relief Pitcher,71.0,210.0,31.5
Juan Padilla,NYM,Relief Pitcher,72.0,200.0,32.03
Duaner Sanchez,NYM,Relief Pitcher,72.0,190.0,29.38
Pedro Feliciano,NYM,Relief Pitcher,70.0,185.0,32.510000000000005
Aaron Heilman,NYM,Relief Pitcher,77.0,220.0,30.3
Jorge Sosa,NYM,Relief Pitcher,74.0,170.0,31.84
Scott Schoeneweis,NYM,Relief Pitcher,72.0,195.0,35.41
Guillermo Mota,NYM,Relief Pitcher,76.0,205.0,35.6
Billy Wagner,NYM,Relief Pitcher,71.0,195.0,37.6
Philip Humber,NYM,Relief Pitcher,76.0,210.0,26.19
Brad Ausmus,HOU,Catcher,71.0,190.0,39.88
Humberto Quintero,HOU,Catcher,73.0,190.0,29.56
Hector Gimenez,HOU,Catcher,70.0,180.0,26.42
Lance Berkman,HOU,First Baseman,73.0,220.0,33.05
Mike Lamb,HOU,First Baseman,73.0,190.0,33.56
Mark Loretta,HOU,Second Baseman,72.0,186.0,37.55
Craig Biggio,HOU,Second Baseman,71.0,185.0,43.21
Brooks Conrad,HOU,Second Baseman,71.0,190.0,29.12
Chris Burke,HOU,Second Baseman,71.0,180.0,28.97
Eric Bruntlett,HOU,Second Baseman,72.0,190.0,30.92
Adam Everett,HOU,Shortstop,72.0,170.0,32.06
Morgan Ensberg,HOU,Third Baseman,74.0,210.0,33.510000000000005
Carlos Lee,HOU,Outfielder,74.0,240.0,32.69
Jason Lane,HOU,Outfielder,74.0,220.0,32.19
Orlando Palmeiro,HOU,Outfielder,71.0,180.0,40.11
Luke Scott,HOU,Outfielder,72.0,210.0,30.68
Charlton Jimerson,HOU,Outfielder,75.0,210.0,29.44
Fernando Nieve,HOU,Starting Pitcher,72.0,195.0,26.63
Wandy Rodriguez,HOU,Starting Pitcher,71.0,160.0,30.11
Brandon Backe,HOU,Starting Pitcher,72.0,180.0,30.9
Matt Albers,HOU,Starting Pitcher,72.0,205.0,26.11
Woody Williams,HOU,Starting Pitcher,72.0,200.0,42.53
Roy Oswalt,HOU,Starting Pitcher,72.0,185.0,31.5
Jason Jennings,HOU,Starting Pitcher,74.0,245.0,30.62
Miguel Asencio,HOU,Relief Pitcher,74.0,190.0,28.42
Brad Lidge,HOU,Relief Pitcher,77.0,210.0,32.18
Trever Miller,HOU,Relief Pitcher,75.0,200.0,35.75
David Borkowski,HOU,Relief Pitcher,73.0,200.0,32.06
Dan Wheeler,HOU,Relief Pitcher,75.0,222.0,31.22
Paul Estrada,HOU,Relief Pitcher,73.0,215.0,26.47
Lincoln Holdzkom,HOU,Relief Pitcher,76.0,240.0,26.94
Chris Sampson,HOU,Relief Pitcher,72.0,170.0,30.77
Chad Qualls,HOU,Relief Pitcher,77.0,220.0,30.54
Ezequiel Astacio,HOU,Relief Pitcher,75.0,156.0,29.32
Mike Lieberthal,LA,Catcher,72.0,190.0,37.12
Russell Martin,LA,Catcher,71.0,202.0,26.04
Olmedo Saenz,LA,First Baseman,71.0,221.0,38.39
James Loney,LA,First Baseman,75.0,200.0,24.81
Nomar Garciaparra,LA,First Baseman,72.0,190.0,35.6
Jeff Kent,LA,Second Baseman,73.0,210.0,40.98
Ramon Martinez,LA,Second Baseman,73.0,190.0,36.39
Marlon Anderson,LA,Second Baseman,71.0,200.0,35.15
Rafael Furcal,LA,Shortstop,70.0,165.0,31.35
Wilson Betemit,LA,Third Baseman,75.0,190.0,28.59
Andy LaRoche,LA,Third Baseman,71.0,185.0,25.46
Matt Kemp,LA,Outfielder,76.0,230.0,24.43
Andre Ethier,LA,Outfielder,73.0,208.0,26.89
Delwyn Young,LA,Outfielder,68.0,209.0,26.67
Jason Repko,LA,Outfielder,71.0,175.0,28.17
Juan Pierre,LA,Outfielder,72.0,180.0,31.54
Luis Gonzalez,LA,Outfielder,74.0,200.0,41.49
Jason Schmidt,LA,Starting Pitcher,77.0,205.0,36.08
Randy Wolf,LA,Starting Pitcher,72.0,200.0,32.519999999999996
Brad Penny,LA,Starting Pitcher,76.0,250.0,30.77
Derek Lowe,LA,Starting Pitcher,78.0,210.0,35.75
Mark Hendrickson,LA,Starting Pitcher,81.0,230.0,34.69
Chad Billingsley,LA,Starting Pitcher,72.0,244.0,24.59
Takashi Saito,LA,Relief Pitcher,73.0,202.0,39.04
Jonathan Broxton,LA,Relief Pitcher,76.0,240.0,24.7
Hong-Chih Kuo,LA,Relief Pitcher,72.0,200.0,27.6
Eric Stults,LA,Relief Pitcher,72.0,215.0,29.23
Chin-Hui Tsao,LA,Relief Pitcher,74.0,177.0,27.74
Tim Hamulack,LA,Relief Pitcher,76.0,210.0,32.29
Yhency Brazoban,LA,Relief Pitcher,73.0,170.0,28.72
Brett Tomko,LA,Relief Pitcher,76.0,215.0,35.9
Joe Beimel,LA,Relief Pitcher,75.0,217.0,31.86
Elmer Dessens,LA,Relief Pitcher,70.0,198.0,38.13
Ryan Budde,PHI,Catcher,71.0,200.0,29.54
Rod Barajas,PHI,Catcher,74.0,220.0,33.489999999999995
Carlos Ruiz,PHI,Catcher,72.0,170.0,30.1
Chris Coste,PHI,Catcher,73.0,200.0,36.07
Ryan Howard,PHI,First Baseman,76.0,230.0,29.28
Wes Helms,PHI,First Baseman,76.0,231.0,32.8
Chase Utley,PHI,Second Baseman,73.0,183.0,30.2
Danny Sandoval,PHI,Second Baseman,71.0,192.0,29.9
Jimmy Rollins,PHI,Shortstop,68.0,167.0,30.26
Abraham Nu?ez,PHI,Third Baseman,71.0,190.0,32.96
Michael Bourn,PHI,Outfielder,71.0,180.0,26.18
Chris Roberson,PHI,Outfielder,74.0,180.0,29.52
Jayson Werth,PHI,Outfielder,77.0,215.0,29.78
Shane Victorino,PHI,Outfielder,69.0,160.0,28.25
Aaron Rowand,PHI,Outfielder,72.0,205.0,31.5
Pat Burrell,PHI,Outfielder,76.0,223.0,32.39
Greg Dobbs,PHI,Designated Hitter,73.0,205.0,30.66
Cole Hamels,PHI,Starting Pitcher,75.0,175.0,25.18
Alfredo Simon,PHI,Starting Pitcher,76.0,170.0,27.81
Scott Mathieson,PHI,Starting Pitcher,75.0,190.0,25.01
Freddy Garcia,PHI,Starting Pitcher,76.0,240.0,33.72
Jamie Moyer,PHI,Starting Pitcher,72.0,175.0,46.28
Jon Lieber,PHI,Starting Pitcher,74.0,230.0,38.91
Brett Myers,PHI,Starting Pitcher,76.0,223.0,28.54
Adam Eaton,PHI,Starting Pitcher,74.0,196.0,31.27
Geoff Geary,PHI,Relief Pitcher,72.0,167.0,32.510000000000005
Clay Condrey,PHI,Relief Pitcher,75.0,195.0,33.28
Ryan Madson,PHI,Relief Pitcher,78.0,190.0,28.51
Antonio Alfonseca,PHI,Relief Pitcher,77.0,250.0,36.87
Tom Gordon,PHI,Relief Pitcher,70.0,190.0,41.28
Brian Sanches,PHI,Relief Pitcher,72.0,190.0,30.56
Jim Ed Warden,PHI,Relief Pitcher,79.0,190.0,29.82
Anderson Garcia,PHI,Relief Pitcher,74.0,170.0,27.94
Eude Brito,PHI,Relief Pitcher,71.0,160.0,30.53
Fabio Castro,PHI,Relief Pitcher,68.0,150.0,24.11
Matt Smith,PHI,Relief Pitcher,77.0,225.0,29.71
Damian Miller,MLW,Catcher,75.0,220.0,39.38
Johnny Estrada,MLW,Catcher,71.0,209.0,32.67
Mike Rivera,MLW,Catcher,72.0,210.0,32.480000000000004
J.D. Closser,MLW,Catcher,70.0,176.0,29.12
Prince Fielder,MLW,First Baseman,72.0,260.0,24.81
Rickie Weeks,MLW,Second Baseman,72.0,195.0,26.46
Tony Graffanino,MLW,Second Baseman,73.0,190.0,36.73
Craig Counsell,MLW,Shortstop,72.0,184.0,38.53
J.J. Hardy,MLW,Shortstop,74.0,180.0,26.53
Bill Hall,MLW,Shortstop,72.0,195.0,29.17
Vinny Rottino,MLW,Third Baseman,72.0,195.0,28.9
Corey Koskie,MLW,Third Baseman,75.0,219.0,35.67
Kevin Mench,MLW,Outfielder,72.0,225.0,31.14
Geoff Jenkins,MLW,Outfielder,73.0,212.0,34.61
Brady Clark,MLW,Outfielder,74.0,202.0,35.87
Tony Gwynn Jr.,MLW,Outfielder,72.0,185.0,26.41
Corey Hart,MLW,Outfielder,78.0,200.0,26.94
Gabe Gross,MLW,Outfielder,75.0,209.0,29.36
Laynce Nix,MLW,Outfielder,72.0,200.0,28.33
Drew Anderson,MLW,Outfielder,74.0,195.0,27.72
Claudio Vargas,MLW,Starting Pitcher,75.0,228.0,30.7
Chris Capuano,MLW,Starting Pitcher,75.0,210.0,30.53
Ben Hendrickson,MLW,Starting Pitcher,76.0,190.0,28.07
Dave Bush,MLW,Starting Pitcher,74.0,212.0,29.31
Carlos Villanueva,MLW,Starting Pitcher,74.0,190.0,25.26
Ben Sheets,MLW,Starting Pitcher,73.0,218.0,30.62
Jeff Suppan,MLW,Starting Pitcher,74.0,220.0,34.16
Brian Shouse,MLW,Relief Pitcher,71.0,190.0,40.43
Francisco Cordero,MLW,Relief Pitcher,74.0,235.0,33.81
Derrick Turnbow,MLW,Relief Pitcher,75.0,210.0,31.1
Matt Wise,MLW,Relief Pitcher,76.0,200.0,33.28
Grant Balfour,MLW,Relief Pitcher,74.0,188.0,31.17
Dennis Sarfate,MLW,Relief Pitcher,76.0,210.0,27.89
Jose Capellan,MLW,Relief Pitcher,76.0,235.0,28.13
Greg Aquino,MLW,Relief Pitcher,73.0,188.0,31.13
Josh Bard,SD,Catcher,75.0,215.0,30.92
Rob Bowen,SD,Catcher,75.0,216.0,28.01
Adrian Gonzalez,SD,First Baseman,74.0,220.0,26.81
Marcus Giles,SD,Second Baseman,68.0,180.0,30.79
Todd Walker,SD,Second Baseman,72.0,185.0,35.77
Geoff Blum,SD,Shortstop,75.0,200.0,35.85
Khalil Greene,SD,Shortstop,71.0,210.0,29.36
Paul McAnulty,SD,Outfielder,70.0,220.0,28.01
Terrmel Sledge,SD,Outfielder,72.0,185.0,31.95
Jack Cust,SD,Outfielder,73.0,231.0,30.12
Jose Cruz Jr.,SD,Outfielder,72.0,210.0,34.87
